Time (s),[ps],[e_ps],[mo],[so],[fa],[ofa]
54271.3567839196,56332.415286814634,180997.04246936316,-5.534578368951529e-14,5.572760304339123e-09,0.0010050415351947276,2.756878423127445e-07
54874.37185929648,55439.39827903707,181890.05947714075,-3.593658743860902e-14,5.572759919360432e-09,0.001005041535213752,2.7568782328852874e-07
55477.38693467336,54560.53183761685,182768.92591856097,6.18802371881288e-14,5.572757979070613e-09,0.0010050415353096284,2.7568772741199483e-07
56080.402010050246,53695.60430126161,183633.8534549162,5.233812316965399e-14,5.572758168304602e-09,0.0010050415353002756,2.7568773676487853e-07
56683.417085427136,52844.38308558143,184485.07467059637,-5.259004855535714e-14,5.572760249547927e-09,0.0010050415351974286,2.7568783961181317e-07
57286.43216080402,52006.659503155235,185322.79825302257,-7.706989784969332e-14,5.572760735146284e-09,0.0010050415351734344,2.756878636060699e-07
57889.4472361809,51182.214378222125,186147.2433779557,2.928234701281907e-14,5.572758625757055e-09,0.0010050415352776771,2.7568775936321866e-07
58492.462311557785,50370.83873959716,186958.61901658063,1.1031318580691293e-13,5.5727570185508495e-09,0.0010050415353571008,2.7568767993959104e-07
59095.47738693467,49572.32704539894,187757.13071077885,2.5468533095733077e-15,5.572759155913026e-09,0.0010050415352514718,2.756877855685687e-07
59698.49246231156,48786.47111333703,188542.98664284075,-1.5764814174315303e-13,5.5727623331642086e-09,0.0010050415350944541,2.7568794258632055e-07
60301.50753768844,48013.07675603597,189316.38100014182,-5.089402351318117e-14,5.572760215947048e-09,0.001005041535199091,2.7568783794942403e-07
60904.522613065325,47251.93827018377,190077.519485994,2.2595018602745339e-13,5.572754725289483e-09,0.0010050415354704446,2.7568756659587425e-07
61507.53768844221,46502.87088166443,190826.58687451336,1.2883519227485811e-13,5.5727566512740565e-09,0.0010050415353752556,2.756876617848896e-07
62110.55276381909,45765.67280729363,191563.78494888416,-3.2048397703979234e-13,5.5727655624057564e-09,0.0010050415349348476,2.7568810219293706e-07
62713.56783919598,45040.16687185732,192289.29088432048,-2.563767000746319e-13,5.572764291095463e-09,0.0010050415349976837,2.7568803935697757e-07
63316.582914572864,44326.158411852775,193003.29934432503,2.9743414042809945e-13,5.572753307863094e-09,0.0010050415355405112,2.7568749652937465e-07
63919.59798994975,43623.4706806396,193705.98707553823,4.671051030350725e-13,5.572749942825451e-09,0.0010050415357068172,2.7568733022345815e-07
64522.61306532663,42931.922015226526,194397.53574095128,-2.173553652447912e-13,5.572763516861781e-09,0.0010050415350359308,2.756880011099045e-07
65125.62814070351,42251.33524227826,195078.12251389952,-8.159532728664991e-13,5.572775388231636e-09,0.0010050415344492042,2.7568858783644923e-07
65728.6432160804,41581.53956212844,195747.91819404936,1.8959250568765757e-14,5.572758830750725e-09,0.0010050415352675591,2.756877694813861e-07
66331.65829145728,40922.35711486819,196407.1006413096,1.5656067928959396e-12,5.572728161152399e-09,0.001005041536783537,2.7568625350340144e-07
66934.67336683416,40273.623253962556,197055.83450221524,3.7281274816581295e-13,5.572751835177577e-09,0.001005041535614417,2.75687422623405e-07
67537.68844221105,39635.17316555398,197694.28459062378,-4.2868387083790813e-13,5.572767720520974e-09,0.0010050415348288057,2.756882082346745e-07
68140.70351758794,39006.84371554277,198322.614040635,-4.4955504618799704e-13,5.572768105171306e-09,0.001005041534808319,2.756882287211954e-07
68743.71859296483,38388.47493693666,198940.98281924112,-6.039937809974367e-13,5.572771178865312e-09,0.001005041534656954,2.756883800862144e-07
69346.73366834171,37779.90952729684,199549.54822888094,-6.51439111566701e-14,5.57276049449424e-09,0.0010050415351851194,2.756878519207032e-07
69949.74874371859,37180.99158167012,200148.46617450763,1.4318778317154e-13,5.572756365101247e-09,0.0010050415353893218,2.7568764771840283e-07
70552.76381909547,36591.567961094064,200737.8897950837,-5.600134801124032e-13,5.572770316811446e-09,0.0010050415347000721,2.7568833696796633e-07
71155.77889447236,36011.48841402237,201317.9693421554,1.0411295864904673e-12,5.572738554461462e-09,0.0010050415362694528,2.7568676758722505e-07
71758.79396984924,35440.60521260785,201888.85254356993,1.237806691756736e-12,5.5727346649655645e-09,0.0010050415364622404,2.7568657479960526e-07
72361.80904522612,34878.771747610466,202450.6860085673,-2.862059843014572e-14,5.572759797475092e-09,0.0010050415352209458,2.7568781609439205e-07
72964.824120603,34325.84478170605,203003.6129744717,-4.108542326133416e-13,5.572767346556531e-09,0.0010050415348462612,2.756881907789421e-07
73567.83919597989,33781.68364786653,203547.77410831125,-3.989772341468501e-13,5.572767106779041e-09,0.0010050415348578983,2.7568817914171546e-07
74170.85427135679,33246.148905462986,204083.3088507148,-2.3778501699642657e-13,5.57276391771653e-09,0.0010050415350159015,2.756880211385576e-07
74773.86934673367,32719.103662776306,204610.35409340146,-2.620782212586732e-13,5.572764402663652e-09,0.0010050415349920933,2.7568804494682137e-07
75376.88442211055,32200.413584717793,205129.04417145997,2.9559682668493516e-13,5.572753342731478e-09,0.0010050415355387084,2.756874983317178e-07
75979.89949748744,31689.946619399685,205639.51113677808,7.9267677328843e-15,5.5727590503196604e-09,0.001005041535256746,2.75687780294191e-07
76582.91457286432,31187.571660785983,206141.88609539176,-4.106362416677978e-13,5.572767353121975e-09,0.0010050415348464856,2.7568819055439566e-07
77185.9296482412,30693.16063095668,206636.29712522106,1.3991985052546692e-12,5.5727314532075244e-09,0.0010050415366204203,2.7568641661957874e-07
77788.94472361809,30206.587743570457,207122.87001260728,1.0774936906744233e-12,5.572737852400555e-09,0.0010050415363051148,2.756867319252022e-07
78391.95979899497,29727.728335615695,207601.72942056204,-8.602767664988318e-14,5.5727609347287375e-09,0.0010050415351646757,2.7568787236423577e-07
78994.97487437185,29256.459985892823,208072.9977702849,-5.673407977808547e-13,5.572770447380471e-09,0.0010050415346928754,2.756883441646993e-07
79597.98994974873,28792.662566035713,208536.79519014203,-1.0481459787006613e-13,5.572761275780482e-09,0.00100504153514623,2.7568789081009577e-07
80201.00502512562,28336.220325812035,208993.23743036567,1.4441929781041809e-13,5.5727563306790666e-09,0.0010050415353905187,2.756876465213012e-07
80804.02010050252,27887.01323463392,209442.44452154377,4.1132490441072277e-13,5.572751048284085e-09,0.001005041535652142,2.7568738489809574e-07
81407.0351758794,27444.929222385723,209884.528533792,3.7690354977900603e-13,5.572751737767081e-09,0.00100504153561841,2.756874186299739e-07
82010.05025125628,27009.8531850941,210319.60457108362,-1.274895116314007e-13,5.572761738158203e-09,0.0010050415351240173,2.756879130226487e-07
82613.06532663316,26581.67430515693,210747.7834510208,-6.189875681776033e-13,5.5727714801035e-09,0.0010050415346422612,2.756883947787633e-07
83216.08040201005,26160.28396081762,211169.1737953601,-5.606231159290592e-13,5.572770318442144e-09,0.001005041534699464,2.7568833757597436e-07
83819.09547738693,25745.572507969835,211583.8852482079,-2.9256556798821765e-13,5.5727649992255414e-09,0.0010050415349622023,2.7568807483763634e-07
84422.11055276381,25337.436934340687,211992.02082183704,-5.206939865806047e-13,5.5727695232879754e-09,0.001005041534738598,2.7568829844196276e-07
85025.1256281407,24935.76937710698,212393.68837907075,-9.706446758726092e-13,5.572778449154281e-09,0.0010050415342975731,2.756887394667377e-07
85628.14070351758,24540.471499428666,212788.98625674905,-8.502653409271427e-13,5.5727760613527795e-09,0.0010050415344155647,2.7568862147516825e-07
86231.15577889446,24151.4377040431,213178.0200521346,-2.981641432805036e-13,5.572765109662648e-09,0.0010050415349567143,2.7568808032563364e-07
86834.17085427136,23768.573672282226,213560.8840838955,-3.5313633133741917e-13,5.572766200272041e-09,0.0010050415349028329,2.7568813420718014e-07
87437.18592964824,23391.776596927986,213937.68115924974,-9.702930990643778e-13,5.572778442413884e-09,0.0010050415342979181,2.7568873912177383e-07
88040.20100502513,23020.95506861059,214308.50268756712,-1.067387992214742e-12,5.572780367743451e-09,0.0010050415342027488,2.7568883429131534e-07
88643.21608040201,22656.010442760056,214673.44731341765,-6.262634723030495e-13,5.5727716158415846e-09,0.0010050415346351213,2.756884019186873e-07
89246.23115577889,22296.85206430467,215032.60569187306,-1.344245889280144e-13,5.5727618619995525e-09,0.0010050415351172063,2.7568791983364133e-07
89849.24623115578,21943.386958105733,215386.07079807197,2.2173699997488672e-13,5.572754806497767e-09,0.0010050415354663125,2.7568757072755236e-07
90452.26130653266,21595.525026729196,215733.93272944854,3.909498237259157e-13,5.572751458978771e-09,0.0010050415356321776,2.7568740486224773e-07
91055.27638190954,21253.178249481607,216076.27950669613,2.1060167433576103e-13,5.5727550361672615e-09,0.0010050415354554067,2.7568758163320844e-07
91658.29145728642,20916.25757400455,216413.2001821732,-7.18608528008539e-14,5.572760634624186e-09,0.0010050415351785427,2.756878584972788e-07
92261.30653266331,20584.679306945243,216744.77844923252,2.6974432299861206e-13,5.572753859985421e-09,0.0010050415355133731,2.7568752366674624e-07
92864.32160804019,20258.355852004854,217071.1019041729,9.8879286743304e-13,5.57273960166092e-09,0.0010050415362181633,2.7568681887653447e-07
93467.33668341709,19937.20729209076,217392.25046408697,1.0175308446139652e-12,5.572739034843707e-09,0.0010050415362463346,2.756867907053879e-07
94070.35175879397,19621.147829165984,217708.30992701175,4.832293290621573e-13,5.572749635903115e-09,0.001005041535722634,2.756873144058626e-07
94673.36683417085,19310.10084244982,218019.3569137279,7.788266653937096e-14,5.5727576718028516e-09,0.0010050415353253233,2.7568771171663626e-07
95276.38190954774,19003.98282366466,218325.47493251308,-3.453202315602539e-13,5.572766053494211e-09,0.0010050415349105019,2.756881265378454e-07
95879.39698492462,18702.719395993663,218626.73836018407,-3.9114169033332115e-13,5.572766957207229e-09,0.001005041534865584,2.7568817145559566e-07
96482.4120603015,18406.230561747165,218923.22719443057,9.300138340463591e-14,5.57275735786035e-09,0.0010050415353401278,2.756876969118747e-07
97085.42713567839,18114.442536700546,219215.01521947718,5.087771991671139e-13,5.572749116707312e-09,0.0010050415357476625,2.7568728937721613e-07
97688.44221105527,17827.279904584353,219502.17785159338,5.437461121485128e-13,5.572748428531187e-09,0.0010050415357819433,2.7568725509648044e-07
98291.45728643215,17544.669360872394,219784.78839530534,4.680946562938181e-13,5.572749933235453e-09,0.0010050415357077964,2.7568732924323684e-07
98894.47236180904,17266.53949072516,220062.91826545258,5.406757808194532e-13,5.572748493503312e-09,0.0010050415357789378,2.756872581018608e-07
99497.48743718592,16992.81786351986,220336.6398926579,5.406323233125506e-13,5.572748490615075e-09,0.0010050415357788912,2.756872581482288e-07
100100.50251256282,16723.436556356304,220606.02119982147,1.350306734782645e-13,5.57275653148535e-09,0.0010050415353813306,2.7568765570902186e-07
100703.5175879397,16458.324344107852,220871.13341206993,-5.232098010394181e-13,5.572769582225375e-09,0.0010050415347361407,2.756883008987635e-07
101306.53266331658,16197.416350595216,221132.04140558257,-6.824323636107688e-13,5.572772735567707e-09,0.0010050415345800715,2.756884569679895e-07
101909.54773869347,15940.642831003035,221388.81492517475,-4.0463519681970263e-13,5.5727672217324955e-09,0.001005041534852355,2.756881846846593e-07
102512.56281407035,15687.94156916669,221641.5161870111,-5.115008402508229e-13,5.572769339615237e-09,0.0010050415347476072,2.756882894324165e-07
103115.57788944723,15439.244732108331,221890.21302406944,-9.131992626756668e-13,5.572777308310083e-09,0.0010050415343538775,2.75688683162135e-07
103718.59296482411,15194.491805869819,222134.96595030796,-9.440937686387222e-13,5.572777921604323e-09,0.0010050415343235964,2.7568871344333667e-07
104321.608040201,14953.617919738634,222375.83983643915,-5.583853016184552e-13,5.5727702709006844e-09,0.0010050415347016542,2.7568833538556294e-07
104924.62311557788,14716.563021277347,222612.89473490044,-3.56990072488402e-13,5.57276627630794e-09,0.0010050415348990547,2.7568813798491056e-07
105527.63819095476,14483.265937312459,222846.19181886534,-6.789814544324011e-13,5.572772663641519e-09,0.0010050415345834506,2.7568845358893433e-07
106130.65326633165,14253.66702812915,223075.79072804863,-9.684076550107731e-13,5.572778405300598e-09,0.0010050415342997662,2.756887372734512e-07
106733.66834170854,14027.708349828707,223301.74940634906,-5.510758099048058e-13,5.572770128586108e-09,0.0010050415347088214,2.7568832821830704e-07
107336.68341708543,13805.330992897383,223524.1267632804,1.577018112322112e-13,5.57275607198398e-09,0.0010050415354035426,2.7568763349728245e-07
107939.69849246231,13586.47983144858,223742.9779247292,2.6428907564607955e-13,5.5727539626784874e-09,0.0010050415355080204,2.7568752901931895e-07
108542.7135678392,13371.096953016231,223958.36080316151,-1.8701712336273405e-14,5.572759582181149e-09,0.0010050415352306492,2.7568780639060346e-07
109145.72864321608,13159.129690461556,224170.3280657162,-5.638110400584951e-14,5.572760329631154e-09,0.0010050415351937172,2.7568784332254767e-07
109748.74371859296,12950.521349284474,224378.93640689328,1.4682990549798433e-14,5.572758914199355e-09,0.0010050415352633659,2.7568777367389017e-07
110351.75879396984,12745.221409178617,224584.23634699913,1.1501407327482608e-14,5.572758975904666e-09,0.001005041535260246,2.756877767937699e-07
110954.77386934673,12543.17477020546,224786.2829859723,-4.525401572704793e-15,5.5727592959562745e-09,0.0010050415352445394,2.756877925005245e-07
111557.78894472361,12344.332198284157,224985.12555789363,-1.0338727702221026e-14,5.5727594120548694e-09,0.0010050415352388419,2.756877981977505e-07
112160.80402010049,12148.641088269702,225180.81666790808,-3.2452512287475518e-15,5.5727592710195815e-09,0.0010050415352457944,2.7568779124530856e-07
112763.81909547739,11956.05256519242,225373.40519098536,3.1770374934902817e-15,5.5727591433031175e-09,0.001005041535252089,2.7568778495073547e-07
113366.83417085427,11766.517008127108,225562.9407480507,1.782736208262158e-15,5.57275917104763e-09,0.0010050415352507226,2.756877863172911e-07
113969.84924623116,11579.985895968812,225749.47186020899,-1.4285877082992662e-15,5.572759234888544e-09,0.0010050415352475753,2.7568778946477315e-07
114572.86432160804,11396.412213905298,225933.04554227248,-8.864539202384919e-16,5.572759224118237e-09,0.0010050415352481066,2.7568778893340916e-07
115175.87939698492,11215.7484485272,226113.70930765057,9.419985670664474e-16,5.5727591877706275e-09,0.0010050415352498988,2.756877871413041e-07
115778.8944723618,11037.950921290652,226291.5068348871,1.5668563936391611e-15,5.572759175347326e-09,0.0010050415352505112,2.7568778652886944e-07
116381.90954773869,10862.972004878917,226466.48575129887,1.5194668831589247e-15,5.572759176288449e-09,0.0010050415352504647,2.7568778657531777e-07
116984.92462311557,10690.76529340649,226638.6924627713,3.966434485841471e-16,5.572759198612285e-09,0.0010050415352493643,2.756877876758174e-07
117587.93969849245,10521.290127994938,226808.16762818285,-4.89426416669778e-16,5.572759216228138e-09,0.0010050415352484958,2.7568778854427137e-07
118190.95477386934,10354.502301916784,226974.955454261,-8.969004133283014e-16,5.5727592243283205e-09,0.0010050415352480966,2.7568778894364523e-07
118793.96984924622,10190.357350696575,227139.10040548124,-6.682201239851735e-16,5.5727592197810465e-09,0.0010050415352483206,2.756877887195122e-07
119396.98492462312,10028.81269766906,227300.64505850876,3.9081809396974397e-16,5.572759198724665e-09,0.0010050415352493584,2.756877876815303e-07
120000.0,9869.830057817371,227459.62769836045,4.867101911941796e-16,5.572759196814256e-09,0.0010050415352494525,2.7568778758754855e-07
